timestamp,cpu_percent,mem_used_bytes,mem_limit_bytes,peer_count
1775687191.3978822,3.7,-1,-1,2
1775687203.126962,3.79,-1,-1,2
1775687215.043723,3.92,-1,-1,2
1775687226.71893,8.42,-1,-1,2
1775687238.3646588,8.59,-1,-1,2
1775687251.5422232,5.27,-1,-1,2
1775687263.526651,16.46,-1,-1,2
1775687275.278037,15.06,-1,-1,2
1775687286.803437,4.54,-1,-1,2
1775687298.642838,6.69,-1,-1,2
1775687310.177964,3.46,-1,-1,2
1775687322.0308852,10.66,-1,-1,2
1775687333.4628658,9.85,-1,-1,2
1775687345.209355,21.13,-1,-1,2
1775687358.416714,19.81,-1,-1,2
1775687370.669939,17.98,-1,-1,2
